parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(C(F)(F)F)cc3)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427391,8.34,8.34,0.0,8.34,8.34,1,1,0.0,False,466.4110000000001,5.873000000000004,2,4,1,False
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(Cl)cc3)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427390,8.43,8.43,0.0,8.43,8.43,1,1,0.0,False,432.85900000000015,5.5076000000000045,2,4,1,False
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(F)cc3Cl)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427395,8.66,8.66,0.0,8.66,8.66,1,1,0.0,False,450.8490000000001,5.646700000000004,2,4,1,False
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(F)cc3F)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427394,8.52,8.52,0.0,8.52,8.52,1,1,0.0,False,434.3940000000001,5.132400000000004,2,4,1,False
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(OC(F)(F)F)cc3)c(=O)oc3cc(F)ccc23)cc1,CHEMBL3427413,5.24,5.24,0.0,5.24,5.24,1,1,0.0,False,484.4010000000001,6.186300000000004,1,4,1,False
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(OC(F)(F)F)cc3)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427393,8.8,8.8,0.0,8.8,8.8,1,1,0.0,False,482.41000000000014,5.752800000000004,2,5,1,False
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(OC(F)(F)F)cc3)c(=O)oc3ccccc23)cc1,CHEMBL3427409,6.44,6.44,0.0,6.44,6.44,1,1,0.0,False,466.4110000000001,6.047200000000005,1,4,1,False
O=C(O)/C=C/c1ccc(Cc2c(-c3cccc(OC(F)(F)F)c3)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427388,8.23,8.23,0.0,8.23,8.23,1,1,0.0,False,482.41000000000014,5.752800000000003,2,5,1,False
O=C(O)CCCOc1ccc(/C(=C/CCc2ccccc2)c2ccc(O)cc2)cc1,CHEMBL2112469,6.63,6.63,0.0,6.63,6.63,1,1,0.0,False,402.49000000000007,5.700300000000006,2,3,1,False
O=C(O)CCCOc1ccc(/C(=C/CCc2ccccc2)c2cccc(O)c2)cc1,CHEMBL2112471,5.77,5.77,0.0,5.77,5.77,1,1,0.0,False,402.49000000000007,5.700300000000006,2,3,1,False
O=C(O)CCCOc1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,CHEMBL4225078,6.83,6.83,0.0,6.83,6.83,1,1,0.0,False,434.4630000000002,5.516500000000005,2,4,1,False
O=C(O)CCc1cc(Br)c(OCc2cccc(Br)c2)c(Br)c1,CHEMBL250104,4.54,4.54,0.0,4.54,4.54,1,1,0.0,False,492.98900000000003,5.570300000000003,1,2,1,False
O=C(O)c1ccc2c(c1)CCCC(c1ccc(Cl)cc1Cl)=C2c1ccc(O[C@@H]2CCN(CCCF)C2)cc1,CHEMBL6166277,8.09,8.09,0.0,8.09,8.09,1,1,0.0,False,554.4890000000003,7.799700000000007,1,3,2,False
O=C(c1ccc(Cl)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL6151266,9.74,9.74,0.0,9.74,9.74,1,1,0.0,False,380.8520000000001,5.863900000000004,2,4,1,False
O=C(c1ccc(Cl)cc1)c1c(-c2ccc(O)cc2)sc2ccccc12,CHEMBL6165805,7.4,7.4,0.0,7.4,7.4,1,1,0.0,False,364.85300000000007,6.158300000000003,1,3,1,False
O=C(c1ccc(Cl)cc1)c1c(-c2ccccc2)sc2cc(O)ccc12,CHEMBL6165774,8.72,8.72,0.0,8.72,8.72,1,1,0.0,False,364.8530000000001,6.158300000000004,1,3,1,False
O=C(c1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL180707,9.385,9.385,0.38890872965260165,9.11,9.66,2,2,0.5500000000000007,False,569.0820000000003,6.826300000000006,2,6,2,False
O=C(c1ccc(N2CCN(C(=O)c3ccc([N+](=O)[O-])cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL362020,8.67,8.67,0.0,8.67,8.67,1,1,0.0,False,579.6340000000004,6.0811000000000055,2,8,2,False
O=C(c1ccc(N2CCN(C(=O)c3cccc(Cl)c3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL178665,9.34,9.34,0.0,9.34,9.34,1,1,0.0,False,569.0820000000003,6.826300000000006,2,6,2,False
O=C(c1ccc(N2CCN(C(=O)c3cccc(O)c3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL441499,8.86,8.86,0.0,8.86,8.86,1,1,0.0,False,550.6360000000003,5.878500000000006,3,7,2,False
O=C(c1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL360498,9.07,9.07,0.0,9.07,9.07,1,1,0.0,False,534.6370000000003,6.172900000000006,2,6,2,False
O=C(c1ccc(N2CCN(C(=O)c3ccccc3Cl)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL180973,8.76,8.76,0.0,8.76,8.76,1,1,0.0,False,569.0820000000003,6.826300000000006,2,6,2,False
O=C(c1ccc(N2CCN(C(=O)c3ccccc3O)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL427496,8.52,8.52,0.0,8.52,8.52,1,1,0.0,False,550.6360000000003,5.878500000000006,3,7,2,False
O=C(c1ccc(N2CCN(C(=O)c3ccccc3[N+](=O)[O-])CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL360978,8.45,8.45,0.0,8.45,8.45,1,1,0.0,False,579.6340000000004,6.0811000000000055,2,8,2,False
O=C(c1ccc(N2CCN(C(=O)c3ccco3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL178857,8.58,8.58,0.0,8.58,8.58,1,1,0.0,False,524.5980000000002,5.765900000000006,2,7,2,False
O=C(c1ccc(N2CCN(C(=O)c3ccncc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL362425,7.84,7.84,0.0,7.84,7.84,1,1,0.0,False,535.6250000000002,5.567900000000006,2,7,2,False
O=C(c1ccc(N2CCN(C3CCCC3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL366928,8.97,8.97,0.0,8.97,8.97,1,1,0.0,False,498.64800000000014,6.275100000000007,2,6,1,False
O=C(c1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL2113001,9.01,9.01,0.0,9.01,9.01,1,1,0.0,False,520.6540000000002,6.532700000000006,2,6,2,False
O=C(c1ccc(N2CCN(c3ccc(Cl)cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL178679,9.66,9.66,0.0,9.66,9.66,1,1,0.0,False,541.0720000000003,7.190500000000006,2,6,2,False
O=C(c1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL180176,9.37,9.37,0.0,9.37,9.37,1,1,0.0,False,551.6240000000003,6.445300000000006,2,8,2,False
O=C(c1ccc(OCCN2C=Cc3ccccc3C2)cc1)c1c(-c2ccc(O)cc2)oc(=O)c2cc(O)ccc12,CHEMBL5174813,9.15,9.15,0.0,9.15,9.15,1,1,0.0,False,531.5640000000003,5.9675000000000065,2,7,2,False
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL1116;CHEMBL81,8.74,8.613913043478261,0.4912945712413536,7.27,9.33,23,23,2.0600000000000005,True,473.5940000000001,6.075200000000007,2,6,1,False
O=C(c1cccc(Br)c1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL6159945,9.6,9.6,0.0,9.6,9.6,1,1,0.0,False,425.3030000000001,5.973000000000004,2,4,1,False
O=C(c1cccc(Br)c1)c1c(-c2ccc(O)cc2)sc2ccccc12,CHEMBL6170434,7.08,7.08,0.0,7.08,7.08,1,1,0.0,False,409.3040000000001,6.267400000000004,1,3,1,False
O=C(c1cccc(Br)c1)c1c(-c2ccccc2)sc2cc(O)ccc12,CHEMBL6168811,7.88,7.88,0.0,7.88,7.88,1,1,0.0,False,409.3040000000001,6.267400000000004,1,3,1,False
O=C1CCC(=O)N1CCCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,CHEMBL1087682,7.39,7.39,0.0,7.39,7.39,1,1,0.0,False,513.5460000000004,4.842700000000005,2,7,1,False
O=C1CCC(=O)N1CCCOc1ccc([C@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,CHEMBL1087557,8.58,8.58,0.0,8.58,8.58,1,1,0.0,False,513.5460000000004,4.842700000000005,2,7,1,False
