parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
O=C1c2cc(O)ccc2-c2c1c1ccc(O)cc1c(=O)n2-c1ccc(OCCN2CCOCC2)cc1,CHEMBL3827200,4.7,4.7,0.0,4.7,4.7,1,1,0.0,False,484.5080000000004,3.324300000000002,2,7,0,True
O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)c2ccccc12,CHEMBL396948,5.58,5.58,0.0,5.58,5.58,1,1,0.0,False,305.289,3.0516000000000014,2,4,0,True
O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)cc1,CHEMBL234524,7.08,7.08,0.0,7.08,7.08,1,1,0.0,False,255.22899999999998,1.8983999999999999,2,4,0,True
O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)cc1F,CHEMBL451496,7.28,7.28,0.0,7.28,7.28,1,1,0.0,False,273.219,2.0374999999999996,2,4,0,True
O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)cc1[N+](=O)[O-],CHEMBL394788,7.68,7.68,0.0,7.68,7.68,1,1,0.0,False,300.226,1.8066,2,6,0,True
O=C1c2ccc(O)cc2C(=O)N1c1cccc(O)c1,CHEMBL388473,5.54,5.54,0.0,5.54,5.54,1,1,0.0,False,255.22899999999998,1.8983999999999999,2,4,0,True
O=C1c2ccc(O)cc2C(=O)N1c1cccc2c(O)cccc12,CHEMBL396947,6.1,6.1,0.0,6.1,6.1,1,1,0.0,False,305.289,3.0516000000000005,2,4,0,True
O=C1c2ccc(O)cc2C(=O)N1c1ccccc1,CHEMBL276030,5.57,5.57,0.0,5.57,5.57,1,1,0.0,False,239.23,2.1928,1,3,0,True
O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,CHEMBL298398,5.96,5.96,0.0,5.96,5.96,1,1,0.0,False,240.21399999999997,1.8732,2,4,0,True
O=C1c2ccc(O)cc2O[C@H](c2ccc(O)cc2)[C@@H]1c1ccc(O)cc1,CHEMBL31127,6.31,6.31,0.0,6.31,6.31,1,1,0.0,False,348.35400000000004,3.903600000000001,3,5,0,True
O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,CHEMBL432454,6.76,6.76,0.0,6.76,6.76,1,1,0.0,False,481.5480000000002,4.8337000000000065,2,6,0,True
O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,CHEMBL25228,7.04,7.04,0.0,7.04,7.04,1,1,0.0,False,354.36100000000005,3.969000000000001,2,4,0,True
O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12,CHEMBL25580,6.44,6.44,0.0,6.44,6.44,1,1,0.0,False,354.36100000000005,3.969000000000002,2,4,0,True
O=C1c2ccccc2C(=O)N1c1ccc2[nH]c(-c3ccc(Br)o3)nc2c1,CHEMBL1403448,5.05,5.05,0.0,5.05,5.05,1,1,0.0,False,408.21100000000007,4.386000000000002,1,4,0,True
O=Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,CHEMBL364419,6.58,6.58,0.0,6.58,6.58,1,1,0.0,False,254.24099999999999,3.3235,2,4,0,True
